FID,COUNTYFP,SUM_black_,SUM_DP0080,black_co
0,001,44748.412518500001000,46114.000000000000000,0.970386705090000
1,003,2905.925867970000100,2990.000000000000000,0.971881561194000
2,005,530859.251856000050000,531814.000000000000000,0.998204732963000
3,007,11309.576640400001000,11407.000000000000000,0.991459335531000
4,009,2851.340263659999900,4242.000000000000000,0.672168850462000
5,011,4702.185518889999900,5125.000000000000000,0.917499613442000
6,013,4844.882662359999800,5655.000000000000000,0.856743176368000
7,015,10189.959704000001000,11183.000000000000000,0.911200903514000
8,017,1608.798418700000000,1721.000000000000000,0.934804426903000
9,019,2383.919220320000000,8125.000000000000000,0.293405442501000
10,021,3539.569791230000200,4550.000000000000000,0.777927426644000
11,023,1574.362267490000000,1620.000000000000000,0.971828560179000
12,025,1371.668248400000000,2058.000000000000000,0.666505465695000
13,027,44813.733755499998000,55577.000000000000000,0.806335961918000
14,029,141589.004474999990000,145092.000000000000000,0.975856728662000
15,031,307.557149703999980,1434.000000000000000,0.214474999794000
16,033,2396.204643269999900,8075.000000000000000,0.296743609074000
17,035,2391.472278230000000,2530.000000000000000,0.945245959775000
18,037,6624.442780669999600,7120.000000000000000,0.930399266948000
19,039,2734.152918010000100,3258.000000000000000,0.839212068143000
20,041,11.828427471199999,100.000000000000000,0.118284274712000
21,043,943.051931251000040,1056.000000000000000,0.893041601563000
22,045,20574.447572699999000,22727.000000000000000,0.905286556637000
23,047,860002.966588999960000,861503.000000000000000,0.998258818123000
24,049,480.663422551000000,849.000000000000000,0.566152441167000
25,051,3984.122501400000100,4343.000000000000000,0.917366452084000
26,053,5650.772405949999700,5695.000000000000000,0.992233960658000
27,055,137053.673905000000000,137927.000000000000000,0.993668200606000
28,057,2483.133370040000000,2643.000000000000000,0.939513193356000
29,059,174649.363212000000000,176484.000000000000000,0.989604514925000
30,061,242388.259582000000000,257234.000000000000000,0.942287021086000
31,063,17744.784460499999000,18616.000000000000000,0.953200712317000
32,065,16295.017506200000000,16378.000000000000000,0.994933295042000
33,067,56131.897336000002000,56240.000000000000000,0.998077833144000
34,069,3250.306862620000200,3425.000000000000000,0.948994704415000
35,071,50681.720570600002000,55390.000000000000000,0.914997663307000
36,073,8423.333460809999500,8608.000000000000000,0.978547102789000
37,075,1329.316810399999900,1554.000000000000000,0.855416222909000
38,077,1490.434079919999900,1690.000000000000000,0.881913656757000
39,079,2675.330653070000200,3114.000000000000000,0.859129946394000
40,081,436142.625087000020000,443993.000000000000000,0.982318696662000
41,083,16725.777847400001000,17125.000000000000000,0.976687757512000
42,085,44381.175253100002000,49857.000000000000000,0.890169389516000
43,087,34603.102694000001000,38238.000000000000000,0.904940182384000
44,089,3706.166958570000100,4859.000000000000000,0.762742736894000
45,091,4379.992185180000000,4530.000000000000000,0.966885692093000
46,093,19339.719894599999000,19424.000000000000000,0.995661032465000
47,095,853.894648433000040,1142.000000000000000,0.747718606334000
48,097,609.507197172000020,817.000000000000000,0.746030841092000
49,099,2922.093097630000100,5816.000000000000000,0.502423159840000
50,101,2711.032405360000200,3265.000000000000000,0.830331517721000
51,103,122377.880500000000000,127995.000000000000000,0.956114539630000
52,105,9269.928364249999500,10755.000000000000000,0.861918025500000
53,107,1390.339414710000000,1649.000000000000000,0.843140942820000
54,109,9644.266128450000900,10370.000000000000000,0.930016020101000
55,111,11805.154555600000000,14086.000000000000000,0.838077137271000
56,113,623.036509797000010,704.000000000000000,0.884995042325000
57,115,1992.970664259999900,4311.000000000000000,0.462298924672000
58,117,4375.237552849999700,4691.000000000000000,0.932687604530000
59,119,137771.534053000010000,149382.000000000000000,0.922276673582000
60,121,2670.720042049999800,3205.000000000000000,0.833297985039000
61,123,554.420057899999960,830.000000000000000,0.667975973373000
