FID,COUNTYFP,SUM_DP0080,SUM_tot_po,perc_pop
0,001,373491.000000000000000,357713.474883000020000,0.957756612296000
1,003,274746.000000000000000,253860.497049000000000,0.923982504018000
2,005,1435664.000000000000000,1415976.578759999900000,0.986286887991000
3,007,316388.000000000000000,305302.556495999980000,0.964962503306000
4,009,436820.000000000000000,328315.685172999980000,0.751604059276000
5,011,211356.000000000000000,184133.833274000000000,0.871202299788000
6,013,305899.000000000000000,246675.054803000010000,0.806393792732000
7,015,220555.000000000000000,200064.069976000000000,0.907093786022000
8,017,264364.000000000000000,249545.283350999990000,0.943945784415000
9,019,170980.000000000000000,95997.375040900006000,0.561453825248000
10,021,123277.000000000000000,97772.756224600002000,0.793114337829000
11,023,151973.000000000000000,142002.449756999990000,0.934392620775000
12,025,128357.000000000000000,85742.005236600002000,0.667996332390000
13,027,628550.000000000000000,431998.956973000020000,0.687294498406000
14,029,1421056.000000000000000,1366585.464339999900000,0.961668973172000
15,031,91783.000000000000000,29022.905194600000000,0.316212209174000
16,033,146644.000000000000000,59053.693270500000000,0.402701053371000
17,035,128602.000000000000000,109146.679557000000000,0.848716812779000
18,037,161823.000000000000000,156618.320041000000000,0.967837205101000
19,039,83133.000000000000000,51298.973402500000000,0.617071119802000
20,041,15717.000000000000000,1387.052129149999900,0.088251710196000
21,043,149547.000000000000000,117597.101746999990000,0.786355471838000
22,045,527258.000000000000000,423813.001970999990000,0.803805730726000
23,047,2534553.000000000000000,2511916.856639999900000,0.991068980069000
24,049,138009.000000000000000,67329.087674499999000,0.487860122706000
25,051,192154.000000000000000,166818.927395000010000,0.868152249732000
26,053,275870.000000000000000,266867.284567000000000,0.967366094780000
27,055,1172479.000000000000000,1154964.344180000000000,0.985061859684000
28,057,181177.000000000000000,162028.920913999990000,0.894312859325000
29,059,1508149.000000000000000,1445572.052100000000000,0.958507449927000
30,061,1622835.000000000000000,1511004.719400000100000,0.931089555870000
31,063,273900.000000000000000,257171.952216000010000,0.938926441095000
32,065,353941.000000000000000,333206.045499000000000,0.941416918354000
33,067,583151.000000000000000,572887.750491000010000,0.982400356839000
34,069,186264.000000000000000,151710.930782000010000,0.814494109339000
35,071,542307.000000000000000,484611.471766999980000,0.893610946875000
36,073,145985.000000000000000,135452.238940000010000,0.927850388328000
37,075,254467.000000000000000,217636.984689000000000,0.855266045063000
38,077,151175.000000000000000,122316.178399000000000,0.809103214149000
39,079,133524.000000000000000,110606.855068000000000,0.828366848417000
40,081,2321197.000000000000000,2291478.356319999800000,0.987196845559000
41,083,252507.000000000000000,232536.876280000000000,0.920912593631000
42,085,468730.000000000000000,427594.509518000010000,0.912240542568000
43,087,354995.000000000000000,308737.115090999990000,0.869694263556000
44,089,229783.000000000000000,131152.551442000000000,0.570766990778000
45,091,288781.000000000000000,265478.713058000020000,0.919308102188000
46,093,258878.000000000000000,246766.205917000010000,0.953214278220000
47,095,104730.000000000000000,76543.032020700004000,0.730860613203000
48,097,86308.000000000000000,68720.386822300003000,0.796222677183000
49,099,95179.000000000000000,68307.321976199994000,0.717672196348000
50,101,235216.000000000000000,173436.851078999990000,0.737351417756000
51,103,1797732.000000000000000,1634650.587970000000000,0.909284914531000
52,105,138264.000000000000000,95073.366954300000000,0.687621990933000
53,107,173472.000000000000000,153759.337402000000000,0.886364009189000
54,109,277453.000000000000000,249897.908189000010000,0.900685551027000
55,111,245518.000000000000000,190340.924705999990000,0.775262606839000
56,113,90819.000000000000000,68050.079980700000000,0.749293429576000
57,115,165378.000000000000000,131763.895792000000000,0.796743797797000
58,117,184687.000000000000000,170076.417183999990000,0.920890031155000
59,119,1036749.000000000000000,918532.121150000020000,0.885973481672000
60,121,114171.000000000000000,101710.655297000000000,0.890862437020000
61,123,101062.000000000000000,64387.349549699997000,0.637107414752000
