,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,school_address,school_city,school_code,school_name,school_not_found,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
0,11,13510,60,2,ADDRESS,DOT,Department of Transportation,BROOKLYN,BROOKLYN,,14 BROOKLYN,Street Condition,2017-11-23T03:04:01.000,CHURCH AVENUE,MARTENSE STREET,Pothole,,N/A,865 FLATBUSH AVENUE,11226,,,40.651033208674754,"{u'type': u'Point', u'coordinates': [-73.958866167537, 40.651033208675]}",,-73.95886616753744,BROOKLYN,Unspecified,2017-11-23T03:04:01.000,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,Unspecified,Unspecified,Unspecified,Unspecified,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,FLATBUSH AVENUE,,37763391,995664,176468
1,32,12076,57,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,02 MANHATTAN,Noise - Commercial,2017-11-23T02:15:11.000,MULBERRY STREET,CENTRE MARKET PLACE,Loud Music/Party,2017-11-23T10:15:11.000,Precinct,389 BROOME STREET,10013,,,40.72055185225046,"{u'type': u'Point', u'coordinates': [-73.996976861261, 40.72055185225]}",Club/Bar/Restaurant,-73.99697686126076,MANHATTAN,Unspecified,2017-11-23T02:29:52.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,BROOME STREET,,37764103,985088,201793
2,14,10692,30,1,ADDRESS,NYPD,New York City Police Department,STATEN ISLAND,STATEN ISLAND,,02 STATEN ISLAND,Noise - Residential,2017-11-23T02:14:11.000,MALLORY AVENUE,NORWAY AVENUE,Loud Music/Party,2017-11-23T10:14:11.000,Precinct,555 MCCLEAN AVENUE,10305,,,40.59426757108711,"{u'type': u'Point', u'coordinates': [-74.07904348616, 40.594267571087]}",Residential Building/House,-74.07904348615968,STATEN ISLAND,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,MCCLEAN AVENUE,,37759420,962298,155794
3,9,10699,15,1,ADDRESS,NYPD,New York City Police Department,STATEN ISLAND,STATEN ISLAND,,03 STATEN ISLAND,Noise - Commercial,2017-11-23T02:11:08.000,ANNADALE ROAD,BARCLAY AVENUE,Loud Music/Party,2017-11-23T10:11:08.000,Precinct,2 SNEDEN AVENUE,10312,,,40.54051908502012,"{u'type': u'Point', u'coordinates': [-74.177165224415, 40.54051908502]}",Store/Commercial,-74.17716522441528,STATEN ISLAND,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,SNEDEN AVENUE,,37763905,935008,136252
4,41,24012,46,3,ADDRESS,NYPD,New York City Police Department,QUEENS,OZONE PARK,,09 QUEENS,Noise - Residential,2017-11-23T02:10:53.000,90 STREET,91 STREET,Loud Music/Party,2017-11-23T10:10:53.000,Precinct,90-14 97 AVENUE,11416,,,40.684787056288705,"{u'type': u'Point', u'coordinates': [-73.850889130699, 40.684787056289]}",Residential Building/House,-73.8508891306989,QUEENS,Unspecified,2017-11-23T02:23:45.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,97 AVENUE,,37762809,1025605,188798
5,33,16860,39,3,ADDRESS,NYPD,New York City Police Department,QUEENS,ASTORIA,,01 QUEENS,Blocked Driveway,2017-11-23T02:10:30.000,43 STREET,44 STREET,No Access,2017-11-23T10:10:30.000,Precinct,43-10 BROADWAY,11103,,,40.75775688608201,"{u'type': u'Point', u'coordinates': [-73.916434620539, 40.757756886082]}",Street/Sidewalk,-73.91643462053939,QUEENS,Unspecified,2017-11-23T02:24:23.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,BROADWAY,,37762217,1007401,215359
6,42,10934,50,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,2017-11-23T02:35:32.000,04 BRONX,Blocked Driveway,2017-11-23T02:10:04.000,EAST 166 STREET,MC CLELLAN STREET,No Access,2017-11-23T10:10:04.000,Precinct,1140 GRANT AVENUE,10456,,,40.83178470768124,"{u'type': u'Point', u'coordinates': [-73.916023647954, 40.831784707681]}",Street/Sidewalk,-73.91602364795351,BRONX,Unspecified,2017-11-23T02:34:42.000,The Police Department responded to the complaint and took action to fix the condition.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GRANT AVENUE,,37760302,1007489,242330
7,6,15312,41,3,BLOCKFACE,NYPD,New York City Police Department,QUEENS,SAINT ALBANS,2017-11-23T02:32:28.000,12 QUEENS,Noise - Vehicle,2017-11-23T02:09:18.000,115 AVENUE,116 AVENUE,Car/Truck Music,2017-11-23T10:09:18.000,Precinct,201 STREET,11412,,,40.697196662802185,"{u'type': u'Point', u'coordinates': [-73.75242354378, 40.697196662802]}",Street/Sidewalk,-73.75242354377994,QUEENS,Unspecified,2017-11-23T02:32:00.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,201 STREET,,37759932,1052901,193381
8,26,17217,60,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,14 BROOKLYN,Blocked Driveway,2017-11-23T02:09:18.000,AVENUE I,AVENUE J,No Access,2017-11-23T10:09:18.000,Precinct,925 EAST 23 STREET,11210,,,40.62767040755426,"{u'type': u'Point', u'coordinates': [-73.953800979596, 40.627670407554]}",Street/Sidewalk,-73.95380097959573,BROOKLYN,Unspecified,2017-11-23T02:25:21.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,EAST 23 STREET,,37761793,997074,167957
9,20,14195,22,3,ADDRESS,NYPD,New York City Police Department,QUEENS,BAYSIDE,,07 QUEENS,Noise - Residential,2017-11-23T02:08:57.000,CORPORAL KENNEDY STREET,BEND,Banging/Pounding,2017-11-23T10:08:57.000,Precinct,209-20 18 AVENUE,11360,,,40.781779470890584,"{u'type': u'Point', u'coordinates': [-73.783906583091, 40.781779470891]}",Residential Building/House,-73.78390658309105,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,18 AVENUE,,37759652,1044095,224174
10,17,13516,16,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,08 BROOKLYN,Illegal Parking,2017-11-23T02:08:21.000,BUFFALO AVENUE,RALPH AVENUE,Blocked Hydrant,2017-11-23T10:08:21.000,Precinct,1595 PARK PLACE,11233,,,40.67202427816243,"{u'type': u'Point', u'coordinates': [-73.924418833755, 40.672024278162]}",Street/Sidewalk,-73.92441883375523,BROOKLYN,Unspecified,2017-11-23T02:21:40.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,PARK PLACE,,37762460,1005216,184122
